Nickname,Player Details,Final Score,Show Info
Christopher,"Christopher Short, a pub trivia editor from Crawfordsville, Indiana (whose 4-day cash winnings total $65,999)","$2,400 ","J! Archive - Show #6124, aired 2011-04-07"
Mickey,"Mickey McLaurin, a research and grants administrator from Oxford, Mississippi","$1,598 ","J! Archive - Show #6124, aired 2011-04-07"
Helen,"Helen Hostetter, a homemaker from Jamaica Plain, Massachusetts",$2 ,"J! Archive - Show #6124, aired 2011-04-07"
Christopher,"Christopher Short, a pub trivia editor from Crawfordsville, Indiana (whose 3-day cash winnings total $38,399)","$27,600 ","J! Archive - Show #6123, aired 2011-04-06"
Connie,"Connie Loren, a speech language pathologist from Wichita, Kansas","$7,800 ","J! Archive - Show #6123, aired 2011-04-06"
Beth,"Beth Ford Roth, a freelance writer from Carlsbad, California","$19,198 ","J! Archive - Show #6123, aired 2011-04-06"
Christopher,"Christopher Short, a pub trivia editor from Crawfordsville, Indiana (whose 2-day cash winnings total $32,000)","$6,399 ","J! Archive - Show #6122, aired 2011-04-05"
Cory,"Cory Biggs, a graduate student of public service from Little Rock, Arkansas","$4,799 ","J! Archive - Show #6122, aired 2011-04-05"
Cindy,"Cindy Peterson, a crossing guard from Geneva, Illinois",$0 ,"J! Archive - Show #6122, aired 2011-04-05"
Christopher,"Christopher Short, a pub trivia editor from Crawfordsville, Indiana (whose 1-day cash winnings total $21,600)","$7,599 ","J! Archive - Show #6121, aired 2011-04-04"
Ko,"Ko Otaka, a realtor from Washington, D.C.","$14,400 ","J! Archive - Show #6121, aired 2011-04-04"
Tom,"Tom Moosbrugger, a library worker from Columbus, Ohio","$8,000 ","J! Archive - Show #6121, aired 2011-04-04"
Amanda,"Amanda Wallwin, a creative project manager from Brooklyn, New York (whose 1-day cash winnings total $19,000)",$999 ,"J! Archive - Show #6120, aired 2011-04-01"
Mark,"Mark Samburg, a law clerk from Essex, Connecticut","$1,599 ","J! Archive - Show #6120, aired 2011-04-01"
Christopher,"Christopher Short, a pub trivia editor from Crawfordsville, Indiana","$21,600 ","J! Archive - Show #6120, aired 2011-04-01"
Ellen,"Ellen Dickens, an adult education director from Newcastle, Maine (whose 1-day cash winnings total $21,700)","$15,801 ","J! Archive - Show #6119, aired 2011-03-31"
J.D.,"J.D. Lopez, a British literature lecturer and lacrosse coach originally from West Hartford, Connecticut","$19,000 ","J! Archive - Show #6119, aired 2011-03-31"
Amanda,"Amanda Wallwin, a creative project manager from Brooklyn, New York","$3,200 ","J! Archive - Show #6119, aired 2011-03-31"
Ted,"Ted Sitting Crow Garner, a sculptor and writer from Chicago, Illinois (whose 1-day cash winnings total $2,500)",$2 ,"J! Archive - Show #6118, aired 2011-03-30"
Ellen,"Ellen Dickens, an adult education director from Newcastle, Maine","$21,700 ","J! Archive - Show #6118, aired 2011-03-30"
Paul,"Paul Cheng, a graduate student of English from Walnut, California","$11,600 ","J! Archive - Show #6118, aired 2011-03-30"
Denise,"Denise O'Connor, a health care attorney from Oak Ridge, New Jersey (whose 1-day cash winnings total $31,700)",$500 ,"J! Archive - Show #6117, aired 2011-03-29"
Jennifer,"Jennifer Carlo, an assistant dean of student affairs from Dunbar, West Virginia","$2,500 ","J! Archive - Show #6117, aired 2011-03-29"
Ted,"Ted Sitting Crow Garner, a sculptor and writer from Chicago, Illinois","$8,000 ","J! Archive - Show #6117, aired 2011-03-29"
Julie,"Julie Ross Godar, an online managing editor from San Francisco, California (whose 1-day cash winnings total $15,801)","$2,999 ","J! Archive - Show #6116, aired 2011-03-28"
Trey,"Trey McCraw, an aspiring novelist from Maiden, North Carolina","$21,000 ","J! Archive - Show #6116, aired 2011-03-28"
Denise,"Denise O'Connor, a health care attorney from Oak Ridge, New Jersey","$31,700 ","J! Archive - Show #6116, aired 2011-03-28"
Megan,"Megan Barnes, a stay-at-home mother from Baltimore, Maryland (whose 3-day cash winnings total $103,203)","$2,816 ","J! Archive - Show #6115, aired 2011-03-25"
Eric,"Eric Sebert, a pig and chicken farmer from Hominy Falls, West Virginia","$1,500 ","J! Archive - Show #6115, aired 2011-03-25"
Julie,"Julie Ross Godar, an online managing editor from San Francisco, California","$15,801 ","J! Archive - Show #6115, aired 2011-03-25"
Megan,"Megan Barnes, a stay-at-home mother from Baltimore, Maryland (whose 2-day cash winnings total $70,002)","$3,598 ","J! Archive - Show #6114, aired 2011-03-24"
Michael,"Michael Brown, a graduate student from Rochester, New York","$29,599 ","J! Archive - Show #6114, aired 2011-03-24"
Connie,"Connie McClung, a human resources and finance manager from Atlanta, Georgia","$15,400 ","J! Archive - Show #6114, aired 2011-03-24"
Megan,"Megan Barnes, a stay-at-home mother from Baltimore, Maryland (whose 1-day cash winnings total $37,601)","$32,401 ","J! Archive - Show #6113, aired 2011-03-23"
Jamie,"Jamie Santo, a freelance editor from Wilmington, Delaware","$21,001 ","J! Archive - Show #6113, aired 2011-03-23"
Janet,"Janet Russell, a family physician from Scottsdale, Arizona","$28,200 ","J! Archive - Show #6113, aired 2011-03-23"
Tom,"Tom Kunzen, a geotechnical engineer from Orlando, Florida (whose 5-day cash winnings total $133,402)",$0 ,"J! Archive - Show #6112, aired 2011-03-22"
Barry,"Barry Cohen, a higher education management consultant from San Diego, California",$2 ,"J! Archive - Show #6112, aired 2011-03-22"
Megan,"Megan Barnes, a stay-at-home mother from Baltimore, Maryland","$37,601 ","J! Archive - Show #6112, aired 2011-03-22"
Tom,"Tom Kunzen, a geotechnical engineer from Orlando, Florida (whose 4-day cash winnings total $110,601)","$22,801 ","J! Archive - Show #6111, aired 2011-03-21"
Stephen,"Stephen Huey, a lawyer from Arlington, Virginia","$22,800 ","J! Archive - Show #6111, aired 2011-03-21"
Erin,"Erin Maxwell, a high school English and drama teacher from Chicago, Illinois","$20,800 ","J! Archive - Show #6111, aired 2011-03-21"
Tom,"Tom Kunzen, a geotechnical engineer from Orlando, Florida (whose 3-day cash winnings total $92,001)","$12,805 ","J! Archive - Show #6110, aired 2011-03-18"
Christine,"Christine Varnado, a graduate instructor and Ph.D. student originally from Hattiesburg, Mississippi","$10,001 ","J! Archive - Show #6110, aired 2011-03-18"
Duncan,"Duncan Stewart, a research director from Toronto, Ontario, Canada","$24,600 ","J! Archive - Show #6110, aired 2011-03-18"
Tom,"Tom Kunzen, a geotechnical engineer from Orlando, Florida (whose 2-day cash winnings total $58,400)","$33,600 ","J! Archive - Show #6109, aired 2011-03-17"
Zack,"Zack Azzam, a bank branch manager from Bloomfield Hills, Michigan","$5,100 ","J! Archive - Show #6109, aired 2011-03-17"
Mary,"Mary Linnenbringer, a floral designer from St. Louis, Missouri","$27,000 ","J! Archive - Show #6109, aired 2011-03-17"
Tom,"Tom Kunzen, a geotechnical engineer from Orlando, Florida (whose 1-day cash winnings total $28,000)","$27,000 ","J! Archive - Show #6108, aired 2011-03-16"
Rebecca,"Rebecca Rogers, an economic development attorney from Carrboro, North Carolina","$27,000 ","J! Archive - Show #6108, aired 2011-03-16"
Peter,"Peter Perigo, a photographic lighting technician originally from Tulsa, Oklahoma","$27,000 ","J! Archive - Show #6108, aired 2011-03-16"
Lori,"Lori Cain, an insurance claims investigator from Altamont, New York (whose 1-day cash winnings total $18,000)","$13,500 ","J! Archive - Show #6107, aired 2011-03-15"
Kristi,"Kristi Myers, a graduate student and English teacher originally from Altamont, Illinois","$5,600 ","J! Archive - Show #6107, aired 2011-03-15"
Tom,"Tom Kunzen, a geotechnical engineer from Orlando, Florida","$28,000 ","J! Archive - Show #6107, aired 2011-03-15"
Katie,"Katie Sowder, a freelance researcher from Kansas City, Missouri (whose 1-day cash winnings total $5,900)","$18,000 ","J! Archive - Show #6106, aired 2011-03-14"
Ethan,"Ethan Dougherty, a journalist from Chicago, Illinois","$5,000 ","J! Archive - Show #6106, aired 2011-03-14"
Lori,"Lori Cain, an insurance claims investigator from Altamont, New York","$4,800 ","J! Archive - Show #6106, aired 2011-03-14"
Tim,"Tim Maas, an Army ammunition inspector from McAlester, Oklahoma (whose 1-day cash winnings total $31,601)","$3,799 ","J! Archive - Show #6105, aired 2011-03-11"
Mary,"Mary McGlynn, an English professor from Maplewood, New Jersey","$2,200 ","J! Archive - Show #6105, aired 2011-03-11"
Katie,"Katie Sowder, a freelance researcher from Kansas City, Missouri","$5,900 ","J! Archive - Show #6105, aired 2011-03-11"
Quinn,"Quinn McDonald, an inventory control manager from Lowville, New York (whose 1-day cash winnings total $20,600)","$6,700 ","J! Archive - Show #6104, aired 2011-03-10"
Tim,"Tim Maas, an Army ammunition inspector from McAlester, Oklahoma","$31,601 ","J! Archive - Show #6104, aired 2011-03-10"
Evan,"Evan Bastian, an electrical engineer from Clovis, California","$31,599 ","J! Archive - Show #6104, aired 2011-03-10"
Mike,"Mike Nelson, a mechanical engineer from Geneva, Illinois (whose 2-day cash winnings total $20,800)","$4,399 ","J! Archive - Show #6103, aired 2011-03-09"
Harley,"Harley Savage, a computer programmer from Hamtramck, Michigan","$5,599 ","J! Archive - Show #6103, aired 2011-03-09"
Quinn,"Quinn McDonald, an inventory control manager from Lowville, New York","$20,600 ","J! Archive - Show #6103, aired 2011-03-09"
Mike,"Mike Nelson, a mechanical engineer from Geneva, Illinois (whose 1-day cash winnings total $16,001)",$1 ,"J! Archive - Show #6102, aired 2011-03-08"
Joe,"Joe Mastroeni, a mutual funds analyst from Colt's Neck, New Jersey","$1,999 ","J! Archive - Show #6102, aired 2011-03-08"
Meg,"Meg Khavari, a high school biology and religion teacher from Silver Spring, Maryland","$9,200 ","J! Archive - Show #6102, aired 2011-03-08"
Carl,"Carl Bradshaw, a financial manager from St. Louis, Missouri (whose 2-day cash winnings total $17,899)","$15,500 ","J! Archive - Show #6101, aired 2011-03-07"
Mike,"Mike Nelson, a mechanical engineer from Geneva, Illinois","$16,001 ","J! Archive - Show #6101, aired 2011-03-07"
Dawn,"Dawn Hart, a bookkeeper from Laughlintown, Pennsylvania","$14,600 ","J! Archive - Show #6101, aired 2011-03-07"
Carl,"Carl Bradshaw, a financial manager from St. Louis, Missouri (whose 1-day cash winnings total $11,599)","$6,300 ","J! Archive - Show #6100, aired 2011-03-04"
Sara,"Sara Lichterman, a web editor from Arlington, Virginia","$2,200 ","J! Archive - Show #6100, aired 2011-03-04"
Mark,"Mark Pudlow, a teachers' union spokesman from Havana, Florida",$399 ,"J! Archive - Show #6100, aired 2011-03-04"
