Nickname,Player Details,Final Score,Show Info
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 5-day cash winnings total $109,700)","$27,600 ","J! Archive - Show #8045, aired 2019-07-26"
Maggie,"Maggie Lehrman, an editor and writer from Brooklyn, New York",$0 ,"J! Archive - Show #8045, aired 2019-07-26"
Michael,"Michael Riggs, an educational therapist from Tustin, California",$2 ,"J! Archive - Show #8045, aired 2019-07-26"
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 4-day cash winnings total $105,300)","$4,400 ","J! Archive - Show #8044, aired 2019-07-25"
Eric,"Eric Kaplan, a retired OB-GYN physician from Long Beach, California",$0 ,"J! Archive - Show #8044, aired 2019-07-25"
Shari,"Shari Meyer, a high school English teacher from Somerville, Massachusetts",$0 ,"J! Archive - Show #8044, aired 2019-07-25"
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 3-day cash winnings total $75,300)","$30,000 ","J! Archive - Show #8043, aired 2019-07-24"
Michelle,"Michelle Bruck, an attorney from Levittown, Pennsylvania","$3,000 ","J! Archive - Show #8043, aired 2019-07-24"
Corin,"Corin Purifoy, a fiber artist from Milwaukee, Wisconsin","$6,100 ","J! Archive - Show #8043, aired 2019-07-24"
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 2-day cash winnings total $45,200)","$12,400 ","J! Archive - Show #8042, aired 2019-07-23"
Peggy,"Peggy Robin, a publisher and chief moderator from Washington, D.C.","$29,998 ","J! Archive - Show #8042, aired 2019-07-23"
John,"John Myers, a financial trader from Chicago, Illinois","$18,600 ","J! Archive - Show #8042, aired 2019-07-23"
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 1-day cash winnings total $26,600)","$18,600 ","J! Archive - Show #8041, aired 2019-07-22"
James,"James Pelayo, a tax professional from Torrance, California",$10 ,"J! Archive - Show #8041, aired 2019-07-22"
Cristina,"Cristina Somolinos, a forensic scientist from Bordentown, New Jersey",$211 ,"J! Archive - Show #8041, aired 2019-07-22"
Nathan,"Nathan Kaplan, a math professor from Los Angeles, California (whose 1-day cash winnings total $19,600)","$26,600 ","J! Archive - Show #8040, aired 2019-07-19"
Kathleen,"Kathleen O'Shea, a PR content manager from Chicago, Illinois","$11,800 ","J! Archive - Show #8040, aired 2019-07-19"
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico","$22,000 ","J! Archive - Show #8040, aired 2019-07-19"
Roey,"Roey Hadar, a journalist from Arlington, Virginia (whose 1-day cash winnings total $23,600)","$19,600 ","J! Archive - Show #8039, aired 2019-07-18"
Amy,"Amy King, a teacher from Seattle, Washington","$9,900 ","J! Archive - Show #8039, aired 2019-07-18"
Nathan,"Nathan Kaplan, a math professor from Los Angeles, California","$19,600 ","J! Archive - Show #8039, aired 2019-07-18"
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 5-day cash winnings total $156,202)",$0 ,"J! Archive - Show #8038, aired 2019-07-17"
Jennifer,"Jennifer Abel, a graduate student from Vancouver, British Columbia, Canada","$12,001 ","J! Archive - Show #8038, aired 2019-07-17"
Roey,"Roey Hadar, a journalist from Arlington, Virginia","$23,600 ","J! Archive - Show #8038, aired 2019-07-17"
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 4-day cash winnings total $113,801)","$42,401 ","J! Archive - Show #8037, aired 2019-07-16"
Peter,"Peter Smith, a lawyer from Mar Vista, California","$12,800 ","J! Archive - Show #8037, aired 2019-07-16"
JJ,"JJ Harris, a community volunteer from Petaluma, California","$12,801 ","J! Archive - Show #8037, aired 2019-07-16"
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 3-day cash winnings total $75,601)","$38,200 ","J! Archive - Show #8036, aired 2019-07-15"
Christina,"Christina Harcar, an audiobook seller from The Bronx, New York","$13,600 ","J! Archive - Show #8036, aired 2019-07-15"
Jeff,"Jeff Lasky, a journalist from San Diego, California",$1 ,"J! Archive - Show #8036, aired 2019-07-15"
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 2-day cash winnings total $46,000)","$29,601 ","J! Archive - Show #8035, aired 2019-07-12"
Justin,"Justin Burden, an alcohol lawyer from West Hollywood, California","$13,300 ","J! Archive - Show #8035, aired 2019-07-12"
Heather,"Heather Ringman, an engineer from Houston, Texas",$100 ,"J! Archive - Show #8035, aired 2019-07-12"
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 1-day cash winnings total $38,001)","$5,800 ","J! Archive - Show #8034, aired 2019-07-11"
Kirsten,"Kirsten Rose, a librarian from Williamstown, Massachusetts",$0 ,"J! Archive - Show #8034, aired 2019-07-11"
Steven,"Steven Green, a software engineer from Millbrae, California","$11,800 ","J! Archive - Show #8034, aired 2019-07-11"
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 4-day cash winnings total $107,049)","$23,300 ","J! Archive - Show #8033, aired 2019-07-10"
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota","$38,001 ","J! Archive - Show #8033, aired 2019-07-10"
Margaret,"Margaret Hamilton, a retired air traffic controller from Sebring, Florida","$6,600 ","J! Archive - Show #8033, aired 2019-07-10"
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 3-day cash winnings total $96,650)","$7,199 ","J! Archive - Show #8032, aired 2019-07-09"
Hannah,"Hannah Safford, an engineering Ph.D. student from Davis, California","$11,800 ","J! Archive - Show #8032, aired 2019-07-09"
Kevin,"Kevin Paquette, a math teacher from Charlottesville, Virginia","$10,800 ","J! Archive - Show #8032, aired 2019-07-09"
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 2-day cash winnings total $63,849)","$32,801 ","J! Archive - Show #8031, aired 2019-07-08"
Holly,"Holly Ahronheim, a stay-at-home mom from Royal Palm Beach, Florida",$0 ,"J! Archive - Show #8031, aired 2019-07-08"
Sarah,"Sarah Hoban, a freelance writer and editor from Barrington, Illinois","$32,400 ","J! Archive - Show #8031, aired 2019-07-08"
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 1-day cash winnings total $34,650)","$29,199 ","J! Archive - Show #8030, aired 2019-07-05"
Sally,"Sally Leedham, a legal assistant from Bradford, Ontario, Canada","$21,400 ","J! Archive - Show #8030, aired 2019-07-05"
Jim,"Jim Royal, a writer from St. Louis, Missouri","$1,200 ","J! Archive - Show #8030, aired 2019-07-05"
Charlie,"Charlie Jorgenson, a librarian from Loveland, Colorado (whose 2-day cash winnings total $56,800)","$24,801 ","J! Archive - Show #8029, aired 2019-07-04"
Wendy,"Wendy Foster, a social worker from Portland, Oregon","$24,800 ","J! Archive - Show #8029, aired 2019-07-04"
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania","$34,650 ","J! Archive - Show #8029, aired 2019-07-04"
Charlie,"Charlie Jorgenson, a librarian from Loveland, Colorado (whose 1-day cash winnings total $32,800)","$5,400 ","J! Archive - Show #8028, aired 2019-07-03"
Dan,"Dan Levy, a higher education administrator from Hartford, Connecticut",$0 ,"J! Archive - Show #8028, aired 2019-07-03"
Cathy,"Cathy Deobler, a retired teacher from Belle, West Virginia","$21,000 ","J! Archive - Show #8028, aired 2019-07-03"
Josh,"Josh Levit, a union organizer from Brighton, Massachusetts (whose 1-day cash winnings total $8,199)","$8,799 ","J! Archive - Show #8027, aired 2019-07-02"
Allison,"Allison Lyttle, a music librarian from Harrisonburg, Virginia","$4,000 ","J! Archive - Show #8027, aired 2019-07-02"
Charlie,"Charlie Jorgenson, a librarian from Loveland, Colorado","$32,800 ","J! Archive - Show #8027, aired 2019-07-02"
E.J.,"E.J. Wolborsky, a freelance project manager from Brooklyn, New York (whose 3-day cash winnings total $66,700)",$0 ,"J! Archive - Show #8026, aired 2019-07-01"
Josh,"Josh Levit, a union organizer from Brighton, Massachusetts","$8,199 ","J! Archive - Show #8026, aired 2019-07-01"
Debbie,"Debbie Kauffman, a university professor from Greeley, Colorado",$0 ,"J! Archive - Show #8026, aired 2019-07-01"
Avi,"Avi Gupta, a senior from Portland, Oregon (subtotal of $24,200)","$26,600 ","J! Archive - Show #8025, aired 2019-06-28"
Lucas,"Lucas Miner, a junior from Miami, Florida (subtotal of $14,800)","$9,200 ","J! Archive - Show #8025, aired 2019-06-28"
Ryan,"Ryan Presler, an eighth grader from Sioux Falls, South Dakota (subtotal of $15,999)","$26,402 ","J! Archive - Show #8025, aired 2019-06-28"
Avi,"Avi Gupta, a senior from Portland, Oregon","$24,200 ","J! Archive - Show #8024, aired 2019-06-27"
Lucas,"Lucas Miner, a junior from Miami, Florida","$14,800 ","J! Archive - Show #8024, aired 2019-06-27"
Ryan,"Ryan Presler, an eighth grader from Sioux Falls, South Dakota","$15,999 ","J! Archive - Show #8024, aired 2019-06-27"
Avi,"Avi Gupta, a senior from Portland, Oregon","$39,200 ","J! Archive - Show #8023, aired 2019-06-26"
Teagan,"Teagan O'Sullivan, a freshman from Charlotte, North Carolina","$27,999 ","J! Archive - Show #8023, aired 2019-06-26"
Jackson,"Jackson Jones, a junior from Louisville, Kentucky","$39,200 ","J! Archive - Show #8023, aired 2019-06-26"
Shriya,"Shriya Yarlagadda, a sophomore from Grand Blanc, Michigan",$0 ,"J! Archive - Show #8022, aired 2019-06-25"
Eesha,"Eesha Sohail, a senior from Bakersfield, California",$0 ,"J! Archive - Show #8022, aired 2019-06-25"
Ryan,"Ryan Presler, an eighth grader from Sioux Falls, South Dakota","$1,599 ","J! Archive - Show #8022, aired 2019-06-25"
Justin,"Justin Bolsen, a freshman from Canton, Georgia",$0 ,"J! Archive - Show #8021, aired 2019-06-24"
Lucas,"Lucas Miner, a junior from Miami, Florida","$21,601 ","J! Archive - Show #8021, aired 2019-06-24"
Hannah,"Hannah Nekritz, a senior from Stamford, Connecticut",$100 ,"J! Archive - Show #8021, aired 2019-06-24"
Avi,"Avi Gupta, a senior from Portland, Oregon","$25,599 ","J! Archive - Show #8020, aired 2019-06-21"
Hannah,"Hannah Nekritz, a senior from Stamford, Connecticut","$18,200 ","J! Archive - Show #8020, aired 2019-06-21"
Shriya,"Shriya Yarlagadda, a sophomore from Grand Blanc, Michigan","$23,000 ","J! Archive - Show #8020, aired 2019-06-21"
Jackson,"Jackson Jones, a junior from Louisville, Kentucky","$21,600 ","J! Archive - Show #8019, aired 2019-06-20"
Sreekar,"Sreekar Madabushi, a junior from Basking Ridge, New Jersey","$18,000 ","J! Archive - Show #8019, aired 2019-06-20"
Audrey,"Audrey Sarin, a senior from Redmond, Washington","$16,800 ","J! Archive - Show #8019, aired 2019-06-20"
Justin,"Justin Bolsen, a freshman from Canton, Georgia","$25,342 ","J! Archive - Show #8018, aired 2019-06-19"
Rohit,"Rohit Kataria, a junior from Wheelersburg, Ohio",$0 ,"J! Archive - Show #8018, aired 2019-06-19"
Sophia,"Sophia Weng, a junior from Chevy Chase, Maryland","$13,600 ","J! Archive - Show #8018, aired 2019-06-19"
Lucas,"Lucas Miner, a junior from Miami, Florida","$21,000 ","J! Archive - Show #8017, aired 2019-06-18"
Alison,"Alison Purcell, a senior from Bellaire, Texas","$11,600 ","J! Archive - Show #8017, aired 2019-06-18"
Eesha,"Eesha Sohail, a senior from Bakersfield, California","$19,787 ","J! Archive - Show #8017, aired 2019-06-18"
Teagan,"Teagan O'Sullivan, a freshman from Charlotte, North Carolina","$25,201 ","J! Archive - Show #8016, aired 2019-06-17"
Stephanie,"Stephanie Pierson, a junior from Macon, Georgia","$13,999 ","J! Archive - Show #8016, aired 2019-06-17"
Ryan,"Ryan Presler, an eighth grader from Sioux Falls, South Dakota","$19,301 ","J! Archive - Show #8016, aired 2019-06-17"
E.J.,"E.J. Wolborsky, a freelance project manager from Brooklyn, New York (whose 2-day cash winnings total $54,201)","$12,499 ","J! Archive - Show #8015, aired 2019-06-14"
Eric,"Eric Larson, an executive producer at an events agency from Long Beach, California","$8,001 ","J! Archive - Show #8015, aired 2019-06-14"
Becky,"Becky Reisig, a document management system administrator from Fort Collins, Colorado",$950 ,"J! Archive - Show #8015, aired 2019-06-14"
E.J.,"E.J. Wolborsky, a freelance project manager from Brooklyn, New York (whose 1-day cash winnings total $28,800)","$24,700 ","J! Archive - Show #8014, aired 2019-06-13"
Adrienne,"Adrienne Griffin, an attorney from Alexandria, Virginia","$6,600 ","J! Archive - Show #8014, aired 2019-06-13"
Jim,"Jim Napier, a poker dealer from West Des Moines, Iowa","$20,000 ","J! Archive - Show #8014, aired 2019-06-13"
Dan,"Dan Martson, a forklift operator from Declo, Idaho (whose 1-day cash winnings total $40,600)","$2,799 ","J! Archive - Show #8013, aired 2019-06-12"
Ben,"Ben Hatch, a pastor from Houston, Texas",$84 ,"J! Archive - Show #8013, aired 2019-06-12"
E.J.,"E.J. Wolborsky, a freelance project manager from Brooklyn, New York","$28,800 ","J! Archive - Show #8013, aired 2019-06-12"
Martin,"Martin Kane, a high school teacher from Martin, Tennessee (whose 1-day cash winnings total $35,601)","$20,601 ","J! Archive - Show #8012, aired 2019-06-11"
Dan,"Dan Martson, a forklift operator from Declo, Idaho","$40,600 ","J! Archive - Show #8012, aired 2019-06-11"
Terri,"Terri Evans, a writer and editor from Natick, Massachusetts","$9,900 ","J! Archive - Show #8012, aired 2019-06-11"
Brendan!,"Brendan Roach, a policy researcher and advisor from Cambridge, Massachusetts (whose 2-day cash winnings total $58,700)","$35,600 ","J! Archive - Show #8011, aired 2019-06-10"
Martin,"Martin Kane, a high school teacher from Martin, Tennessee","$35,601 ","J! Archive - Show #8011, aired 2019-06-10"
Mary,"Mary Fellman, a retail manager from Los Alamos, New Mexico",$400 ,"J! Archive - Show #8011, aired 2019-06-10"
Brendan!,"Brendan Roach, a policy researcher and advisor from Cambridge, Massachusetts (whose 1-day cash winnings total $38,200)","$20,500 ","J! Archive - Show #8010, aired 2019-06-07"
Allison!,"Allison Steger, a librarian from Austin, Texas","$20,000 ","J! Archive - Show #8010, aired 2019-06-07"
Steven,"Steven Silverman, a software engineer from Arlington, Virginia","$2,667 ","J! Archive - Show #8010, aired 2019-06-07"
Emma,"Emma Boettcher, a user experience librarian from Chicago, Illinois (whose 3-day cash winnings total $97,002)","$5,199 ","J! Archive - Show #8009, aired 2019-06-06"
Brendan!,"Brendan Roach, a policy researcher and advisor from Cambridge, Massachusetts","$38,200 ","J! Archive - Show #8009, aired 2019-06-06"
Salomé,"Salomé Gonstad, a freelance writer from Hanceville, Alabama","$32,800 ","J! Archive - Show #8009, aired 2019-06-06"
Emma,"Emma Boettcher, a user experience librarian from Chicago, Illinois (whose 2-day cash winnings total $71,401)","$14,800 ","J! Archive - Show #8008, aired 2019-06-05"
Jonathan,"Jonathan Greenstein, a high school social studies teacher from Mount Laurel, New Jersey","$14,800 ","J! Archive - Show #8008, aired 2019-06-05"
Erin,"Erin Garratt, an education policy analyst from Washington, D.C.","$14,800 ","J! Archive - Show #8008, aired 2019-06-05"
Emma,"Emma Boettcher, a user experience librarian from Chicago, Illinois (whose 1-day cash winnings total $46,801)","$24,600 ","J! Archive - Show #8007, aired 2019-06-04"
Matthew,"Matthew Swanson, a Ph.D student from Los Angeles, California","$19,201 ","J! Archive - Show #8007, aired 2019-06-04"
Liz,"Liz Neal, a graphic designer from Astoria, New York","$7,200 ","J! Archive - Show #8007, aired 2019-06-04"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 32-day cash winnings total $2,462,216)","$24,799 ","J! Archive - Show #8006, aired 2019-06-03"
Jay,"Jay Sexton, a senior research engineer from Atlanta, Georgia","$17,000 ","J! Archive - Show #8006, aired 2019-06-03"
Emma,"Emma Boettcher, a user experience librarian from Chicago, Illinois","$46,801 ","J! Archive - Show #8006, aired 2019-06-03"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 31-day cash winnings total $2,382,583)","$7,600 ","J! Archive - Show #8005, aired 2019-05-31"
William,"William Tran, an attorney from Monterey Park, California","$33,600 ","J! Archive - Show #8005, aired 2019-05-31"
Wyatt,"Wyatt Feeler, an attorney from College Park, Maryland",$800 ,"J! Archive - Show #8005, aired 2019-05-31"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 30-day cash winnings total $2,323,971)","$58,612 ","J! Archive - Show #8004, aired 2019-05-30"
Megan,"Megan Browndorf, a librarian from Washington, D.C.","$7,599 ","J! Archive - Show #8004, aired 2019-05-30"
Rob,"Rob Wolf, a family physician from Newark, Delaware",$1 ,"J! Archive - Show #8004, aired 2019-05-30"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 29-day cash winnings total $2,254,938)","$69,033 ","J! Archive - Show #8003, aired 2019-05-29"
Faizan,"Faizan Kothari, an investment banking analyst from New York, New York","$9,223 ","J! Archive - Show #8003, aired 2019-05-29"
Lisa,"Lisa Clark, a freelance designer from Atlanta, Georgia",$1 ,"J! Archive - Show #8003, aired 2019-05-29"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 28-day cash winnings total $2,195,557)","$59,381 ","J! Archive - Show #8002, aired 2019-05-28"
Jim-Bob,"Jim-Bob Williams, a therapeutic humorist from St. Albans, West Virginia",$10 ,"J! Archive - Show #8002, aired 2019-05-28"
Sara,"Sara Feeney, a stay-at-home mom from Livonia, Michigan","$16,801 ","J! Archive - Show #8002, aired 2019-05-28"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 27-day cash winnings total $2,065,535)","$130,022 ","J! Archive - Show #8001, aired 2019-05-27"
Monica,"Monica Foy, a financial planner from San Francisco, California","$13,195 ","J! Archive - Show #8001, aired 2019-05-27"
Scott,"Scott Swartz, a medical student from Berkeley, California","$12,399 ","J! Archive - Show #8001, aired 2019-05-27"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 26-day cash winnings total $1,991,135)","$28,200 ","J! Archive - Show #8000, aired 2019-05-24"
Sam,"Sam Kooistra, a criminal defense lawyer from Tucson, Arizona","$2,600 ","J! Archive - Show #8000, aired 2019-05-24"
Susan,"Susan Waller, a K-12 school administrator from Chester, Pennsylvania","$1,800 ","J! Archive - Show #8000, aired 2019-05-24"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 25-day cash winnings total $1,939,027)","$52,108 ","J! Archive - Show #7999, aired 2019-05-23"
Laura,"Laura Schulman, a public defender from Seattle, Washington","$1,200 ","J! Archive - Show #7999, aired 2019-05-23"
Nate,"Nate Scheffey, a technology consultant from New York, New York","$35,800 ","J! Archive - Show #7999, aired 2019-05-23"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 24-day cash winnings total $1,867,142)","$7,200 ","J! Archive - Show #7998, aired 2019-05-22"
Mary,"Mary Peace, a high school teacher from Ottawa, Ontario, Canada","$7,200 ","J! Archive - Show #7998, aired 2019-05-22"
Liz,"Liz Levin, an attorney from Los Angeles, California","$7,200 ","J! Archive - Show #7998, aired 2019-05-22"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 23-day cash winnings total $1,780,237)","$86,905 ","J! Archive - Show #7997, aired 2019-05-21"
Kate,"Kate Kelly, a nonprofit finance professional from New York, New York","$13,100 ","J! Archive - Show #7997, aired 2019-05-21"
Jason,"Jason Mangano, a freelance writer from Fords, New Jersey","$14,400 ","J! Archive - Show #7997, aired 2019-05-21"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 22-day cash winnings total $1,691,008)","$89,229 ","J! Archive - Show #7996, aired 2019-05-20"
Jenny,"Jenny Gibbs, a handywoman and gardener from Charlottesville, Virginia","$8,801 ","J! Archive - Show #7996, aired 2019-05-20"
Adam,"Adam Stone, an associate professor of political science from Marietta, Georgia",$1 ,"J! Archive - Show #7996, aired 2019-05-20"
Conor,"Conor Quinn, a high school world history teacher from Albany, New York (subtotal of $5,600)","$26,400 ","J! Archive - Show #7995, aired 2019-05-17"
Francois,"Francois Barcomb, an 11th grade physics teacher from New Paltz, New York (subtotal of $20,400)","$21,200 ","J! Archive - Show #7995, aired 2019-05-17"
Sara,"Sara DelVillano, a middle school instrumental music teacher from Lanham, Maryland (subtotal of $4,800)","$14,800 ","J! Archive - Show #7995, aired 2019-05-17"
Conor,"Conor Quinn, a high school world history teacher from Albany, New York","$5,600 ","J! Archive - Show #7994, aired 2019-05-16"
Francois,"Francois Barcomb, an 11th grade physics teacher from New Paltz, New York","$20,400 ","J! Archive - Show #7994, aired 2019-05-16"
Sara,"Sara DelVillano, a middle school instrumental music teacher from Lanham, Maryland","$4,800 ","J! Archive - Show #7994, aired 2019-05-16"
Conor,"Conor Quinn, a high school world history teacher from Albany, New York","$19,201 ","J! Archive - Show #7993, aired 2019-05-15"
Dave,"Dave Rowswell, a high school art teacher from Cheyenne, Wyoming","$5,399 ","J! Archive - Show #7993, aired 2019-05-15"
Matthew,"Matthew Bunch, a middle school civics and world history teacher from Miami, Florida","$9,300 ","J! Archive - Show #7993, aired 2019-05-15"
Benjamin,"Benjamin Schwartz, a middle school English teacher from Stamford, Connecticut",$5 ,"J! Archive - Show #7992, aired 2019-05-14"
Francois,"Francois Barcomb, an 11th grade physics teacher from New Paltz, New York","$18,801 ","J! Archive - Show #7992, aired 2019-05-14"
Julia,"Julia Rosinski Bailey, a 10th grade chemistry teacher from Austin, Texas","$18,797 ","J! Archive - Show #7992, aired 2019-05-14"
Joe,"Joe Rengstorf, a middle school special education teacher from Poulsbo, Washington","$5,399 ","J! Archive - Show #7991, aired 2019-05-13"
Trevor,"Trevor Crowell, a high school Spanish teacher from Mountain View, California",$100 ,"J! Archive - Show #7991, aired 2019-05-13"
Sara,"Sara DelVillano, a middle school instrumental music teacher from Lanham, Maryland","$7,599 ","J! Archive - Show #7991, aired 2019-05-13"
Dave,"Dave Rowswell, a high school art teacher from Cheyenne, Wyoming","$12,300 ","J! Archive - Show #7990, aired 2019-05-10"
Benjamin,"Benjamin Schwartz, a middle school English teacher from Stamford, Connecticut","$22,001 ","J! Archive - Show #7990, aired 2019-05-10"
Ellie,"Ellie Walsh, a high school world history and U.S. government teacher from Nashville, Tennessee",$1 ,"J! Archive - Show #7990, aired 2019-05-10"
Sara,"Sara DelVillano, a middle school instrumental music teacher from Lanham, Maryland","$8,399 ","J! Archive - Show #7989, aired 2019-05-09"
Melissa,"Melissa Okey, an elementary school resource teacher from Panorama City, California",$800 ,"J! Archive - Show #7989, aired 2019-05-09"
Conor,"Conor Quinn, a high school world history teacher from Albany, New York","$17,600 ","J! Archive - Show #7989, aired 2019-05-09"
Francois,"Francois Barcomb, an 11th grade physics teacher from New Paltz, New York","$20,600 ","J! Archive - Show #7988, aired 2019-05-08"
Alexandra,"Alexandra Bicks, a high school ESL teacher from Cambridge, Massachusetts","$5,199 ","J! Archive - Show #7988, aired 2019-05-08"
Vicki,"Vicki Leibeck-Owsley, a high school English teacher from Columbia, Kentucky","$1,000 ","J! Archive - Show #7988, aired 2019-05-08"
Tara,"Tara Baxter, a high school English teacher from Tucson, Arizona","$9,600 ","J! Archive - Show #7987, aired 2019-05-07"
Matthew,"Matthew Bunch, a middle school civics and world history teacher from Miami, Florida","$15,500 ","J! Archive - Show #7987, aired 2019-05-07"
Trevor,"Trevor Crowell, a high school Spanish teacher from Mountain View, California","$1,000 ","J! Archive - Show #7987, aired 2019-05-07"
Mariah,"Mariah Minges Klusman, a 12th grade English language arts teacher from Wyncote, Pennsylvania","$20,401 ","J! Archive - Show #7986, aired 2019-05-06"
Joe,"Joe Rengstorf, a middle school special education teacher from Poulsbo, Washington","$15,200 ","J! Archive - Show #7986, aired 2019-05-06"
Julia,"Julia Rosinski Bailey, a 10th grade chemistry teacher from Austin, Texas","$2,400 ","J! Archive - Show #7986, aired 2019-05-06"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 21-day cash winnings total $1,608,627)","$82,381 ","J! Archive - Show #7985, aired 2019-05-03"
Pete,"Pete Vanderhyden, an airline pilot from Murrieta, California",$0 ,"J! Archive - Show #7985, aired 2019-05-03"
Carol,"Carol Hansen, a retired database administrator from San Francisco, California","$2,399 ","J! Archive - Show #7985, aired 2019-05-03"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 20-day cash winnings total $1,528,012)","$80,615 ","J! Archive - Show #7984, aired 2019-05-02"
Jessica,"Jessica Efron Sauer, a bookkeeper from Munster, Indiana",$0 ,"J! Archive - Show #7984, aired 2019-05-02"
Josh,"Josh Archibald-Seiffer, a music director and pianist from Seattle, Washington","$10,200 ","J! Archive - Show #7984, aired 2019-05-02"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 19-day cash winnings total $1,426,330)","$101,682 ","J! Archive - Show #7983, aired 2019-05-01"
Kate,"Kate Jay Zweifler, a Realtor and stay-at-home mom from Philadelphia, Pennsylvania","$8,399 ","J! Archive - Show #7983, aired 2019-05-01"
Imar,"Imar Dacunha, a business systems analyst from Orlando, Florida","$8,612 ","J! Archive - Show #7983, aired 2019-05-01"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 18-day cash winnings total $1,329,604)","$96,726 ","J! Archive - Show #7982, aired 2019-04-30"
Jason,"Jason Lai, a financial risk consultant from Duluth, Georgia","$5,399 ","J! Archive - Show #7982, aired 2019-04-30"
Libby,"Libby Wood, a marketing writer from Seattle, Washington","$1,999 ","J! Archive - Show #7982, aired 2019-04-30"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 17-day cash winnings total $1,275,587)","$54,017 ","J! Archive - Show #7981, aired 2019-04-29"
Jasmine,"Jasmine Leonas, a social media specialist from Chicago, Illinois","$7,800 ","J! Archive - Show #7981, aired 2019-04-29"
Adam,"Adam Levin, a sports information director from Ashland, Massachusetts","$53,999 ","J! Archive - Show #7981, aired 2019-04-29"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 16-day cash winnings total $1,225,987)","$49,600 ","J! Archive - Show #7980, aired 2019-04-26"
Tyler,"Tyler Lee, an international banking project manager from Hollis, New York",$0 ,"J! Archive - Show #7980, aired 2019-04-26"
Robin,"Robin Falco, a nonprofit administrator from King of Prussia, Pennsylvania","$3,300 ","J! Archive - Show #7980, aired 2019-04-26"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 15-day cash winnings total $1,135,175)","$90,812 ","J! Archive - Show #7979, aired 2019-04-25"
Tim,"Tim Hall, a data analyst from Washington, D.C.",$0 ,"J! Archive - Show #7979, aired 2019-04-25"
Alix,"Alix Basden, a student from Lafayette, Louisiana","$5,600 ","J! Archive - Show #7979, aired 2019-04-25"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 14-day cash winnings total $1,061,554)","$73,621 ","J! Archive - Show #7978, aired 2019-04-24"
Silvija,"Silvija Ozols, a copy editor from Astoria, New York","$2,400 ","J! Archive - Show #7978, aired 2019-04-24"
Wayne,"Wayne Erxleben, an engineer from Fort Wayne, Indiana","$19,999 ","J! Archive - Show #7978, aired 2019-04-24"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 13-day cash winnings total $942,738)","$118,816 ","J! Archive - Show #7977, aired 2019-04-23"
Claudia,"Claudia Walters, a grant writer from Mesa, Arizona","$15,601 ","J! Archive - Show #7977, aired 2019-04-23"
Kevin,"Kevin Donohue, a principal from Los Angeles, California","$15,593 ","J! Archive - Show #7977, aired 2019-04-23"
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 12-day cash winnings total $851,926)","$90,812 ","J! Archive - Show #7976, aired 2019-04-22"
Rob,"Rob Hornick, a product manager from San Francisco, California","$2,727 ","J! Archive - Show #7976, aired 2019-04-22"
